ID,last,first,co,act,cosize,middle,city,state,latitude,longitude
751,McGary,S,,2,,F,Philadelphia,PA,39.951061,-75.16562
752,Hornbrooke,E,,2,,G,Kansas City,MO,39.099792,-94.578559
753,Clark,Homer,West Publishing Company,3,600,P(ierce),St. Paul,MN,44.943719,-93.094281
755,Flather,Frederick,Boott MIlls Co.,2,,A,Lowell,MA,42.645426,-71.3074
756,Henry,George,"J.N. Struck & Bro, Lumber",3,99,,Louisville,KY,38.256078,-85.751569
757,Hildreth,Charles,Whitcomb-Blaisdell Machine Tool Co.,3,,E,Worcester,MA,42.262073,-71.802278
758,Aldrich,A,Beloit Iron Works,2,,,Beloit,WI,42.499646,-89.033615
759,Spear,E,Cheney Bigelow Wire Works,2,,C,Springfield,MA,42.102051,-72.585757
760,Laughlin,Thomas,Thomas Laughlin Co.,3,140,S,Portland,ME,43.659218,-70.256519
761,,,R.S. Brine Co.,2,,,Boston,MA,42.358894,-71.056742
762,Powell,T,Globe Drug Co.,2,,M,Hazleton,PA,40.960001,-75.974446
763,York Jr.,B,,2,,R,Damariscotta Mills,,44.061901,-69.5242
764,Waltz,Charles,,4,,F,Cincinnati,OH,39.104427,-84.513808
765,Woodbury,Melville,"Millett, Woodbury, and Co.",2,,,Beverly,MA,42.552163,-70.882679
767,Bonner,H,"Haines, Jones, and Cadbury Co.",2,,T,Philadelphia,PA,39.951061,-75.16562
768,Davis,C,Lovell & Buffington Tobacco Co.,2,,J,Covington,KY,39.083687,-84.508483
770,Bruce,W,"Bruce, Merritt & Abbott; Bowler Foundry Co",2,,C,Cleveland,OH,41.505546,-81.6915
771,Sayle,W,Cleveland Punch and Shear Works Co,5,,D,Cleveland,OH,41.505546,-81.6915
773,Barker,Melville,American Tool and Machine Co.,3,350,H,Boston,MA,42.358894,-71.056742
774,Bullard,A,Bullard Machine Tool Co.,3,900,H,Bridgeport,CT,41.179195,-73.189476
775,Blakeney,W,"Crawford, McGregor & Canby co.; Dayton Last Works?",2,,J,Dayton,OH,39.760982,-84.192203
776,Stephens,George,Moline Plow Company,3,3000,A,Moline,IL,41.492225,-90.489271
778,Wilson,George,F. Cortez & Wilson Co.,2,,Landis,Chicago,IL,41.883229,-87.632398
779,West,Charles,West Publishing Co.,2,,W,St. Paul,MN,44.943719,-93.094281
780,Barnard,George,George D. Barnard & Co.,2,,D,St. Louis,MO,38.630276,-90.200309
781,Gard,John,John T. Gard & Son,3,,T,Buffalo,NY,42.887691,-78.879374
