3398	3459	1
2161	3987	1
3560	4576	1
2161	3988	1
2159	2215	2
1146	2384	1
3369	4682	2
169	4702	1
2303	3978	2
1573	4219	1
4354	4975	1
4354	4973	1
4354	4971	1
2303	3970	1
2022	4216	1
2303	3975	2
1573	4216	1
2303	3977	2
4354	4979	1
760	4975	1
3578	4935	1
760	4971	1
760	4973	1
924	2022	1
4320	4350	1
4320	4354	1
2844	3323	1
2011	4190	1
2011	4191	1
2844	4679	1
2572	3829	1
2377	4878	3
101	1817	1
949	4878	2
3578	4682	1
161	611	1
195	4843	1
4191	4272	1
275	2477	1
449	4320	1
217	1397	1
3618	4836	1
2549	4843	1
2702	4301	2
2005	2692	1
2702	4303	1
3793	4209	1
495	3012	1
168	4843	1
4151	4702	1
4603	4682	2
1884	2844	1
1029	3398	1
723	1255	1
4496	4836	1
1619	3276	1
1094	4354	1
398	2319	1
881	1813	1
2746	4205	1
449	3807	1
351	739	2
398	1959	1
3356	4152	1
1063	4857	1
2254	2987	3
1884	4191	1
1226	3593	1
1317	4152	1
2261	4777	1
354	3398	1
893	4735	1
2022	3356	1
611	4938	1
416	3618	1
611	4935	1
23	3560	2
4843	4935	1
972	4148	1
4147	4262	1
1573	4301	1
972	4147	3
2549	3012	1
2226	4347	1
162	3338	1
1406	4109	1
1015	4562	1
209	597	1
101	4236	1
118	2303	1
268	4496	1
1773	3151	1
960	4603	1
611	2692	1
2712	3851	1
274	495	1
3369	3727	1
3369	3726	1
118	162	1
118	161	1
118	169	1
118	168	1
2357	4836	1
652	4438	1
652	4437	1
611	2525	2
495	4718	1
723	3678	1
447	502	2
416	4827	1
357	4455	1
3431	4320	1
416	2254	1
2525	4081	1
999	4526	1
1817	4717	1
2549	4095	1
1406	4819	1
357	527	1
11	4049	1
1817	4719	2
1817	4718	1
389	2963	1
1094	2022	1
1094	2023	1
2011	2357	1
209	628	1
3157	4347	1
2701	4496	1
2124	4249	1
1773	3842	1
2124	4245	1
2745	4515	1
597	3836	1
3633	4878	1
3369	4975	2
972	2254	2
3369	4971	2
3369	4973	2
274	2661	1
597	2124	1
2525	2572	2
4148	4209	1
3469	4562	1
4148	4205	1
1773	4975	1
1905	2377	1
3431	3678	1
4216	4819	1
1405	2005	1
2538	3836	2
999	2276	1
2276	2836	1
3200	3842	1
2549	3836	1
1146	1738	1
4390	4702	1
495	3052	1
2215	3583	2
3369	4390	1
3369	4392	1
1063	1397	1
217	667	1
2456	4935	1
2101	4216	1
217	668	1
897	3836	1
939	2477	2
3726	4390	1
161	4259	2
161	4253	1
967	4245	1
258	3136	1
527	2303	3
967	4249	1
1959	2702	2
1959	2701	1
955	4190	1
1406	2745	1
1406	2746	2
973	4878	3
1150	4236	1
1063	3822	1
999	4891	1
1080	4901	1
1905	3560	1
3052	4190	1
22	375	1
357	3103	1
1255	4777	1
3103	4055	1
3624	4095	1
1640	3147	1
2399	3338	1
22	4438	1
