key1	key2	measure	connection type
209	2538	3	socialclub
209	2659	3	socialclub
209	2660	3	socialclub
209	2661	5	socialclub
209	2712	3	socialclub
209	2836	3	socialclub
209	3151	3	socialclub
209	3726	3	socialclub
209	4205	4	socialclub
209	4262	3	socialclub
209	4514	3	socialclub
209	4557	3	socialclub
209	4682	4	socialclub
209	4705	3	socialclub
209	4719	4	socialclub
209	4809	3	socialclub
209	4878	3	socialclub
209	4971	3	socialclub
209	4973	3	socialclub
209	4975	3	socialclub
209	527	3	socialclub
209	573	0.076	residence
209	652	3	socialclub
209	687	3	socialclub
209	723	6	socialclub
209	739	3	socialclub
209	893	3	socialclub
209	939	3	socialclub
209	972	3	socialclub
209	973	4	socialclub
2098	2161	0.033	residence
2098	2226	0.003	residence
211	2616	0.026	residence
211	2660	0.082	residence
211	3151	0.074	residence
211	3560	0.074	residence
211	4347	0.098	residence
211	4718	0.018	residence
2159	2254	4	socialclub
2159	2268	3	socialclub
2159	2303	4	socialclub
2159	2377	3	socialclub
2159	2572	3	socialclub
2159	2659	3	socialclub
2159	2661	4	socialclub
2159	2987	3	socialclub
2159	3469	4	socialclub
2159	3726	4	socialclub
2159	3977	3	socialclub
2159	4205	4	socialclub
2159	4262	3	socialclub
2159	4341	3	socialclub
2159	4682	3	socialclub
2159	4705	4	socialclub
2159	4719	4	socialclub
2159	4878	4	socialclub
2159	560	3	socialclub
2159	652	3	socialclub
2159	687	3	socialclub
2159	723	3	socialclub
2159	739	4	socialclub
2159	893	3	socialclub
2159	939	3	socialclub
2159	973	4	socialclub
2161	2226	0.036	residence
217	723	3	socialclub
22	2215	3	socialclub
22	23	3	social_and_residence
22	2303	3	socialclub
22	2525	4	socialclub
22	2538	3	socialclub
22	2659	3	socialclub
22	2660	3	socialclub
22	2661	4	socialclub
22	2712	3	socialclub
22	2836	3	socialclub
22	3151	3	socialclub
22	4205	3	socialclub
22	4608	0.025	residence
22	4682	3	socialclub
22	4971	3	socialclub
22	4973	3	socialclub
22	4975	3	socialclub
22	652	3	socialclub
22	723	4	socialclub
22	760	0.082	residence
22	939	3	socialclub
22	972	3	socialclub
22	973	3	socialclub
2215	2303	3	socialclub
2215	2525	3	socialclub
2215	2538	3	socialclub
2215	2659	3	socialclub
2215	2661	3	socialclub
2215	2712	3	socialclub
2215	2836	3	socialclub
2215	3246	0.000	residence
2215	3829	0.000	residence
2215	4049	0.000	residence
2215	4055	0.000	residence
2215	4205	3	socialclub
2215	4682	3	socialclub
2215	4814	0.000	residence
2215	4935	0.000	residence
2215	502	0.000	residence
2215	652	3	socialclub
2215	723	3	socialclub
2215	939	3	socialclub
2215	972	3	socialclub
2215	973	3	socialclub
2254	2303	5	socialclub
2254	2377	3	socialclub
2254	2659	4	socialclub
2254	2661	3	socialclub
2254	2987	3	socialclub
2254	3469	4	socialclub
2254	3726	4	socialclub
2254	4109	3	socialclub
2254	4205	3	socialclub
2254	4262	3	socialclub
2254	4705	3	socialclub
2254	4719	4	socialclub
2254	4878	4	socialclub
2254	687	3	socialclub
2254	723	3	socialclub
2254	739	5	socialclub
2254	893	3	socialclub
2254	897	3	socialclub
2254	949	3	socialclub
2254	973	3	socialclub
2261	2303	3	socialclub
2261	2661	3	socialclub
2261	2836	3	socialclub
2261	3151	3	socialclub
2261	4682	3	socialclub
2261	723	3	socialclub
2261	835	0.091	residence
2261	939	3	socialclub
2261	972	3	socialclub
2268	2303	3	socialclub
2268	2661	4	socialclub
2268	3151	3	socialclub
2268	4205	4	socialclub
2268	4341	3	socialclub
2268	4682	3	socialclub
2268	4705	3	socialclub
2268	652	3	socialclub
2268	723	3	socialclub
2268	939	3	socialclub
2268	973	4	socialclub
23	2525	3	socialclub
23	2660	3	socialclub
23	2661	3	socialclub
23	4019	3	socialclub
23	4608	0.025	residence
23	723	3	socialclub
23	760	0.082	residence
2303	2377	3	socialclub
2303	2477	4	socialclub
2303	2525	3	socialclub
2303	2538	3	socialclub
2303	2659	5	socialclub
2303	2661	5	socialclub
2303	2712	3	socialclub
2303	2836	4	socialclub
2303	2987	3	socialclub
2303	3151	3	socialclub
2303	3469	4	socialclub
2303	3726	5	socialclub
2303	3727	3	socialclub
2303	3836	3	socialclub
2303	4017	3	socialclub
2303	4109	3	socialclub
2303	4205	4	socialclub
2303	4236	3	socialclub
2303	4259	3	socialclub
2303	4262	3	socialclub
2303	4557	4	socialclub
2303	4562	3	socialclub
2303	4682	5	socialclub
2303	4705	3	socialclub
2303	4719	5	socialclub
2303	4809	4	socialclub
2303	4878	4	socialclub
2303	4971	3	socialclub
2303	502	3	socialclub
2303	527	3	socialclub
2303	652	3	socialclub
2303	687	4	socialclub
2303	723	6	socialclub
2303	739	5	socialclub
2303	893	3	socialclub
2303	897	3	socialclub
2303	917	3	socialclub
2303	939	4	socialclub
2303	949	3	socialclub
2303	972	4	socialclub
2303	973	4	socialclub
2345	2794	0.051	residence
2357	3200	0.007	residence
2377	2661	3	socialclub
2377	3726	3	socialclub
2377	4205	3	socialclub
2377	4262	3	socialclub
2377	4705	3	socialclub
2377	4719	3	socialclub
2377	4878	3	socialclub
2377	573	0.092	residence
2377	687	3	socialclub
2377	723	3	socialclub
2377	739	3	socialclub
2377	893	3	socialclub
2377	973	3	socialclub
2477	2661	3	socialclub
2477	4205	3	socialclub
2477	4557	3	socialclub
2477	4682	3	socialclub
2477	4719	3	socialclub
2477	527	3	socialclub
2477	723	4	socialclub
2477	973	3	socialclub
2525	2538	3	socialclub
2525	2659	3	socialclub
2525	2660	3	socialclub
2525	2661	4	socialclub
2525	2712	3	socialclub
2525	2836	3	socialclub
2525	3151	3	socialclub
2525	4205	3	socialclub
2525	4682	3	socialclub
2525	4971	3	socialclub
2525	4973	3	socialclub
2525	4975	3	socialclub
2525	652	3	socialclub
2525	723	4	socialclub
2525	939	3	socialclub
2525	972	3	socialclub
2525	973	3	socialclub
2538	2659	3	socialclub
2538	2661	3	socialclub
2538	2712	3	socialclub
2538	2836	3	socialclub
2538	4205	3	socialclub
2538	4682	3	socialclub
2538	652	3	socialclub
2538	723	3	socialclub
2538	939	3	socialclub
2538	972	3	socialclub
2538	973	3	socialclub
2549	2661	3	socialclub
2549	3151	3	socialclub
2572	2661	3	socialclub
2572	3157	0.027	residence
2572	3469	3	socialclub
2572	3593	0.056	residence
2572	3977	3	socialclub
2572	4205	4	socialclub
2572	4272	3	socialclub
2572	4682	3	socialclub
2572	4705	3	socialclub
2572	652	3	socialclub
2572	687	3	socialclub
2572	939	4	socialclub
2572	973	3	socialclub
2591	42	0.063	residence
2616	3151	0.085	residence
2616	3560	0.085	residence
2616	357	0.099	residence
2616	4718	0.008	residence
2658	2661	0.012	residence
2658	2794	0.080	residence
2658	4705	0.006	residence
2659	2661	3	socialclub
2659	2712	3	socialclub
2659	2836	3	socialclub
2659	3469	4	socialclub
2659	3726	3	socialclub
2659	4109	3	socialclub
2659	4205	3	socialclub
2659	4682	3	socialclub
2659	4719	3	socialclub
2659	4878	3	socialclub
2659	652	3	socialclub
2659	723	4	socialclub
2659	739	4	socialclub
2659	865	3	socialclub
2659	897	3	socialclub
2659	939	3	socialclub
2659	949	3	socialclub
2659	972	3	socialclub
2659	973	3	socialclub
2660	2661	3	socialclub
2660	2987	0.031	residence
2660	3151	0.096	residence
2660	3560	0.095	residence
2660	4347	0.016	residence
2660	4878	0.072	residence
2660	723	3	socialclub
2661	2712	3	socialclub
2661	2794	0.079	residence
2661	2836	4	socialclub
2661	3151	5	socialclub
2661	3398	3	socialclub
2661	3469	3	socialclub
2661	3726	4	socialclub
2661	3727	3	socialclub
2661	3836	3	socialclub
2661	3977	3	socialclub
2661	3978	3	socialclub
2661	4017	3	socialclub
2661	4019	3	socialclub
2661	4205	5	socialclub
2661	4236	3	socialclub
2661	4259	3	socialclub
2661	4262	3	socialclub
2661	4272	3	socialclub
2661	4341	3	socialclub
2661	4350	3	socialclub
2661	4390	3	socialclub
2661	4514	3	socialclub
2661	4557	4	socialclub
2661	4562	3	socialclub
2661	4682	5	socialclub
2661	4705	4	social_and_residence
2661	4719	3	socialclub
2661	4809	3	socialclub
2661	4836	3	socialclub
2661	4878	3	socialclub
2661	4935	3	socialclub
2661	4971	4	socialclub
2661	4973	3	socialclub
2661	4975	3	socialclub
2661	560	3	socialclub
2661	652	4	socialclub
2661	687	3	socialclub
2661	723	6	socialclub
2661	739	3	socialclub
2661	893	3	socialclub
2661	917	3	socialclub
2661	939	5	socialclub
2661	972	4	socialclub
2661	973	5	socialclub
2692	351	0.014	residence
2692	4236	3	socialclub
2692	5007	0.087	residence
